               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040106,             0.01513,           0.0047785,             0.91074,             0.64144,             0.74207,             0.44293,             0.03195,           0.0095202,            0.004571,            0.006535,            0.006535,            0.006535
                  37,            0.039153,            0.015334,           0.0063443,             0.95879,             0.64995,             0.76258,             0.43472,            0.030248,           0.0094819,           0.0044561,            0.006436,            0.006436,            0.006436
                  38,             0.03912,            0.015943,           0.0047747,             0.97617,             0.65995,             0.76514,             0.44982,            0.033198,           0.0092747,           0.0042947,            0.006337,            0.006337,            0.006337
                  39,            0.037534,            0.016912,           0.0056183,             0.97664,              0.6582,             0.76772,              0.4847,            0.033521,           0.0092526,           0.0043032,            0.006238,            0.006238,            0.006238
                  40,            0.037108,            0.015183,           0.0052396,             0.96836,             0.65954,             0.77626,             0.49007,            0.030019,           0.0091532,           0.0042514,            0.006139,            0.006139,            0.006139
                  41,             0.03662,            0.016276,           0.0048056,             0.97813,             0.66554,             0.81378,             0.52393,             0.02984,           0.0091873,           0.0042529,             0.00604,             0.00604,             0.00604
                  42,            0.036297,            0.014644,           0.0051088,             0.98351,             0.66358,             0.80476,             0.46885,             0.03266,           0.0091548,           0.0043913,            0.005941,            0.005941,            0.005941
                  43,            0.036337,            0.015898,           0.0052619,             0.96645,             0.66527,             0.83595,             0.54676,            0.029692,           0.0091839,           0.0043002,            0.005842,            0.005842,            0.005842
                  44,            0.035959,            0.017167,           0.0041877,             0.97664,             0.66879,             0.80835,             0.48109,            0.032274,           0.0091516,           0.0041459,            0.005743,            0.005743,            0.005743
                  45,             0.03696,            0.015597,           0.0056575,             0.83313,             0.75015,             0.79471,             0.50353,            0.029707,           0.0092268,           0.0041154,            0.005644,            0.005644,            0.005644
                  46,             0.03458,            0.016452,           0.0059069,             0.95349,             0.65896,             0.79662,             0.49043,            0.028519,           0.0090655,           0.0041065,            0.005545,            0.005545,            0.005545
                  47,            0.033495,            0.015225,           0.0052906,             0.97736,             0.67245,             0.81728,             0.52644,            0.027242,           0.0088585,           0.0042595,            0.005446,            0.005446,            0.005446
                  48,            0.034899,             0.01478,           0.0052359,             0.87476,             0.74841,             0.82885,             0.51212,            0.027873,           0.0090023,             0.00406,            0.005347,            0.005347,            0.005347
                  49,            0.033664,            0.016296,            0.004221,             0.91981,             0.73902,               0.835,             0.55445,            0.026083,           0.0088865,           0.0038351,            0.005248,            0.005248,            0.005248
                  50,             0.03413,            0.015555,           0.0039811,             0.92726,             0.73633,             0.84315,             0.50864,            0.029143,           0.0087573,           0.0035762,            0.005149,            0.005149,            0.005149
                  51,            0.034439,            0.016081,            0.004699,             0.94537,             0.73961,             0.83563,             0.55579,            0.028402,           0.0086356,           0.0034498,             0.00505,             0.00505,             0.00505
                  52,            0.032591,            0.015529,           0.0044277,             0.92707,             0.74524,             0.81645,             0.52757,            0.027109,           0.0086419,           0.0034016,            0.004951,            0.004951,            0.004951
                  53,            0.032389,            0.015043,            0.004617,             0.92765,             0.74287,             0.80329,             0.50711,            0.028422,           0.0084552,           0.0033845,            0.004852,            0.004852,            0.004852
                  54,            0.032838,            0.014593,           0.0050805,             0.93956,             0.74995,             0.80069,             0.55038,            0.025689,           0.0084549,            0.003257,            0.004753,            0.004753,            0.004753
                  55,            0.033143,            0.015515,           0.0043694,             0.93854,             0.74729,             0.81294,             0.56593,            0.025603,            0.008407,           0.0031294,            0.004654,            0.004654,            0.004654
                  56,             0.03152,            0.016196,           0.0049362,             0.93456,             0.74812,              0.8168,             0.53058,            0.026789,           0.0085037,           0.0031177,            0.004555,            0.004555,            0.004555
                  57,            0.031621,            0.014909,           0.0036584,             0.92811,             0.75104,              0.8272,             0.52476,            0.028454,           0.0085118,           0.0031205,            0.004456,            0.004456,            0.004456
                  58,             0.03204,            0.014913,           0.0039484,             0.93178,             0.74815,             0.83964,             0.57161,            0.026277,           0.0083313,           0.0031495,            0.004357,            0.004357,            0.004357
                  59,            0.032044,            0.014835,           0.0043781,             0.93996,              0.7493,               0.868,             0.58935,            0.024778,           0.0082199,           0.0031438,            0.004258,            0.004258,            0.004258
                  60,            0.030939,            0.014502,           0.0042837,             0.95476,             0.75293,             0.86943,              0.5838,            0.025925,            0.008278,            0.003104,            0.004159,            0.004159,            0.004159
                  61,            0.029935,            0.013214,           0.0034573,             0.96111,              0.7536,             0.87094,             0.59395,            0.024248,           0.0082666,           0.0030159,             0.00406,             0.00406,             0.00406
                  62,            0.030801,            0.015125,           0.0035661,             0.95329,              0.7556,             0.87441,             0.58942,            0.025358,           0.0082133,           0.0030105,            0.003961,            0.003961,            0.003961
                  63,            0.030662,            0.014381,           0.0044524,             0.95995,             0.75559,             0.87477,             0.61152,            0.024308,           0.0080937,           0.0029764,            0.003862,            0.003862,            0.003862
                  64,             0.03105,            0.014249,           0.0046225,             0.96867,              0.7556,             0.87068,             0.59537,            0.024595,           0.0081645,           0.0029704,            0.003763,            0.003763,            0.003763
                  65,            0.028886,            0.014242,            0.003485,             0.97569,             0.75446,              0.8679,              0.6121,             0.02412,            0.008025,           0.0029703,            0.003664,            0.003664,            0.003664
                  66,            0.029146,            0.015334,           0.0039068,              0.9799,             0.75378,             0.86894,             0.61203,            0.023294,           0.0080304,           0.0029936,            0.003565,            0.003565,            0.003565
                  67,            0.028967,            0.013565,            0.003455,             0.97465,             0.75081,             0.86865,             0.58048,             0.02469,           0.0081632,           0.0029528,            0.003466,            0.003466,            0.003466
                  68,            0.029521,            0.013227,           0.0041996,              0.9313,             0.74692,             0.86211,             0.55826,            0.024262,           0.0081168,           0.0029121,            0.003367,            0.003367,            0.003367
                  69,            0.029959,            0.014913,            0.004074,             0.97838,             0.74831,             0.87277,             0.57431,            0.023876,           0.0079309,           0.0028511,            0.003268,            0.003268,            0.003268
                  70,            0.028828,            0.014466,           0.0031072,             0.96531,             0.74945,               0.884,              0.5915,            0.022933,           0.0079195,           0.0027555,            0.003169,            0.003169,            0.003169
                  71,            0.028055,            0.014517,           0.0037164,             0.98504,             0.74591,             0.88688,             0.63556,            0.021832,           0.0078306,           0.0026989,             0.00307,             0.00307,             0.00307
                  72,            0.027239,            0.014323,            0.003121,             0.98893,             0.75134,             0.88626,             0.61354,            0.022793,           0.0080422,           0.0026613,            0.002971,            0.002971,            0.002971
                  73,            0.027808,             0.01408,            0.003621,              0.9873,             0.74792,             0.88845,             0.62467,            0.022249,            0.007947,             0.00271,            0.002872,            0.002872,            0.002872
                  74,            0.027407,            0.013283,            0.002948,             0.98066,             0.74778,             0.88728,             0.62319,             0.02295,           0.0079467,           0.0027497,            0.002773,            0.002773,            0.002773
                  75,            0.026884,            0.014636,           0.0032344,             0.97549,             0.75502,              0.9019,              0.6486,            0.021702,           0.0078176,           0.0026453,            0.002674,            0.002674,            0.002674
                  76,            0.026608,            0.013323,           0.0028968,             0.98347,             0.75234,             0.89642,             0.66253,            0.020573,           0.0076826,           0.0025542,            0.002575,            0.002575,            0.002575
                  77,            0.026166,            0.013706,           0.0036071,             0.98438,             0.75149,             0.89388,              0.6515,            0.021765,           0.0076781,           0.0025471,            0.002476,            0.002476,            0.002476
                  78,            0.026449,            0.013162,           0.0032574,             0.98207,             0.74721,             0.89775,             0.65697,            0.020852,           0.0076984,           0.0025187,            0.002377,            0.002377,            0.002377
                  79,            0.026276,            0.013541,           0.0025957,             0.96416,             0.77749,             0.91188,               0.666,            0.020589,           0.0076252,            0.002465,            0.002278,            0.002278,            0.002278
                  80,            0.026141,            0.013362,           0.0030464,             0.98853,             0.74691,              0.9002,             0.67521,            0.020157,           0.0076082,           0.0024555,            0.002179,            0.002179,            0.002179
